No.,Tags,Human_question,Ground_truth,Evidence,Source,,
53,ภัยจากโรคระบาด,วิธีป้องกันไม่ให้ลูกติดโรคมือเท้าปากจากเพื่อนที่โรงเรียน?,สอนลูกล้างมือด้วยสบู่ให้เป็นนิสัยก่อนกินข้าวและหลังเข้าห้องน้ำ สั่งห้ามกินน้ำแก้วเดียวกับเพื่อนเด็ดขาดครับ,"""หมั่นล้างมือให้สะอาดด้วยน้ำและสบู่ โดยเฉพาะก่อนและหลังการเตรียมอาหาร... ไม่ใช้ของใช้ส่วนตัวร่วมกัน""",หน้า 123,,
54,ภัยจากโรคระบาด,โรคติดเชื้อไวรัสอีโบลา (Ebola) มีอาการน่ากลัวยังไง?,ไข้สูงเฉียบพลัน ท้องเสีย อ่อนเพลียรุนแรง และมีเลือดออกทั้งในและนอกร่างกาย (เช่น เลือดออกตามไรฟัน) หากมีอาการรีบโทร 1669 ด่วนครับ,"""มีไข้สูงเฉียบพลัน อ่อนเพลีย ปวดศีรษะ ปวดกล้ามเนื้อ... เจ็บคอ อาเจียน ท้องเสีย และมีผื่นนูนแดง... มีเลือดออก""",หน้า 124-125,,
55,ภัยจากโรคระบาด,โรคอีโบลาติดต่อทางไหน แค่เดินผ่านคนป่วยติดไหม?,เดินผ่านไม่ติดครับ เชื้อไม่ได้ลอยในอากาศ แต่จะติดเมื่อไปสัมผัสเลือด น้ำลาย อาเจียน อุจจาระ หรือศพของผู้ป่วยโดยตรง,"""เกิดจากการสัมผัสโดยตรงกับเลือดที่ติดเชื้อ สารคัดหลั่ง เช่น นํ้ามูก นํ้าลาย ปัสสาวะ อุจจาระ... ไม่ติดต่อผ่านทางอากาศ""",หน้า 125,,
56,ภัยจากโรคระบาด,ไปร่วมพิธีศพของคนที่เสียชีวิตจากอีโบลา จะติดเชื้อได้ไหม?,เสี่ยงมากครับ ต้องหลีกเลี่ยงการสัมผัสร่างกายหรืออาบน้ำศพผู้เสียชีวิตด้วยโรคนี้เด็ดขาด ให้เจ้าหน้าที่สาธารณสุขเป็นผู้จัดการศพครับ,"""พบการแพร่กระจายเชื้ออีโบลาในพิธีศพได้บ่อย เนื่องจากผู้มาร่วมพิธีศพอาจมีการสัมผัสโดยตรงกับร่างกายของผู้เสียชีวิต""",หน้า 125,,
57,ภัยจากโรคระบาด,กินเนื้อสัตว์ป่าที่แอฟริกา เสี่ยงติดโรคอีโบลาไหม?,เสี่ยงมากครับ เชื้ออีโบลามาจากสัตว์ป่า เช่น ลิง ค้างคาวแม่ไก่ ต้องงดกินเนื้อสัตว์ป่าและปรุงอาหารให้สุกเสมอ,"""หลีกเลี่ยงการสัมผัสสัตว์ป่า... หรือเนื้อสัตว์ป่าที่ใช้เป็นอาหาร""",หน้า 125,,
58,ภัยจากโรคระบาด,โรคอีโบลามีวัคซีนป้องกันหรือยารักษาให้หายขาดไหม?,ปัจจุบันยังไม่มีวัคซีนหรือยารักษาจำเพาะ การรักษาเป็นแบบประคับประคองตามอาการ เช่น ให้น้ำเกลือทดแทนครับ,"""ปัจจุบันยังไม่มีวัคซีนป้องกันโรคอีโบลา และยารักษาจำเพาะ... รักษาแบบประคับประคองอย่างเข้มงวด""",หน้า 125,,
59,ภัยจากโรคระบาด,จะเดินทางไปทำงานที่แอฟริกา ต้องป้องกันอีโบลาอย่างไร?,หลีกเลี่ยงการสัมผัสผู้ป่วย สัตว์ป่า หรือสารคัดหลั่ง ล้างมือบ่อยๆ หากมีไข้หลังกลับมา 21 วันต้องรีบหาหมอครับ,"""หากเดินทางไปยังประเทศที่มีการระบาด... หลีกเลี่ยงการสัมผัสสัตว์ป่า... หมั่นล้างมือให้สะอาด""",หน้า 125,,
60,ภัยจากโรคระบาด,เพิ่งกลับจากตะวันออกกลาง มีไข้ ไอ ท้องเสีย กลัวเป็นไวรัสเมอร์ส (MERS),ใส่หน้ากากอนามัยทันที แยกห้องนอน รีบไปพบแพทย์พร้อมแจ้งประวัติการเดินทางกลับจากตะวันออกกลางครับ,"""ผู้ป่วยที่ติดเชื้อ MERS-CoV... จะมีไข้ ไอ มีน้ำมูก เจ็บคอ... ควรหลีกเลี่ยงการสัมผัสคลุกคลีกับบุคคลอื่น... และรีบไปพบแพทย์""",หน้า 126-128,,
61,ภัยจากโรคระบาด,ไปเที่ยวตะวันออกกลาง ไปขี่อูฐหรือกินนมอูฐได้ไหม?,ควรหลีกเลี่ยงการคลุกคลีกับอูฐ หรือดื่มนมอูฐดิบๆ เพราะอูฐเป็นแหล่งรังโรคของเชื้อไวรัสเมอร์สครับ,"""หลีกเลี่ยงการเข้าไปสัมผัสกับฟาร์มสัตว์ หรือสัตว์ป่าต่างๆ หรือดื่มนมสัตว์ โดยเฉพาะอูฐ ซึ่งอาจเป็นแหล่งรังโรคของเชื้อได้""",หน้า 128,,
62,ภัยจากโรคระบาด,โรคเมอร์ส (MERS) สามารถติดต่อจากคนสู่คนได้ไหม?,ติดต่อได้ครับ ผ่านละอองฝอยจากการไอจาม หรือสัมผัสสารคัดหลั่งของผู้ป่วย มักพบการระบาดในโรงพยาบาลหรือผู้ดูแลใกล้ชิด,"""สามารถแพร่กระจายเชื้อจากคนสู่คนได้ โดยผ่านทางละอองฝอยจากการไอ จาม""",หน้า 127,,
63,ภัยจากโรคระบาด,อาการของโรคเมอร์ส (MERS) รุนแรงแค่ไหน?,มีตั้งแต่เป็นหวัดเล็กน้อย ไปจนถึงปอดอักเสบรุนแรง ไตวาย และอาจเสียชีวิตได้ โดยเฉพาะผู้มีโรคประจำตัวครับ,"""ผู้ป่วยบางรายอาจมีอาการทางระบบกระเพาะอาหารและลำไส้... หรืออาจมีภาวะแทรกซ้อนที่รุนแรง เช่น ปอดอักเสบ ไตวาย""",หน้า 126-127,,
64,ภัยจากโรคระบาด,วิธีป้องกันตัวเองจากโรคเมอร์ส ทำอย่างไร?,กินร้อน ช้อนกลาง ล้างมือ ใส่หน้ากากเมื่ออยู่ในที่แออัด และหลีกเลี่ยงการสัมผัสใกล้ชิดผู้ที่มีอาการไอจามครับ,"""ล้างมือด้วยน้ำและสบู่บ่อยๆ... หลีกเลี่ยงการสัมผัสใกล้ชิดกับผู้ที่มีอาการระบบทางเดินหายใจ หรือผู้ป่วยที่มีอาการไอ จาม""",หน้า 128,,
65,ภัยจากโรคระบาด,โดนยุงลายกัด มีไข้ ผื่นแดง ตาแดง ปวดข้อ ใช่ไข้เลือดออกไหม?,อาการคล้ายไวรัสซิกา ไข้เลือดออก และชิคุนกุนยา ให้นอนกางมุ้ง กินยาลดไข้พาราเซตามอล หากไม่ดีขึ้นรีบไปพบแพทย์ครับ,"""อาการไข้ มีผื่นแดง เยื่อบุตาอักเสบ ปวดกล้ามเนื้อ ปวดข้อ... เชื้อไวรัสซิกาสามารถแพร่เชื้อโดยยุงลาย""",หน้า 131-132,,
66,ภัยจากโรคระบาด,ปวดหัว ปวดข้อจากโรคซิกา ซื้อยาไอบูโพรเฟนมากินได้ไหม?,ห้ามกินยากลุ่ม NSAIDs หรือแอสไพรินเด็ดขาด เพราะจะทำให้เลือดออกในอวัยวะภายในรุนแรง ให้กินเฉพาะพาราเซตามอลครับ,"""แนะนำให้รับประทาน ยาพาราเชตามอล ห้ามรับประทานยาแอสไพริน หรือยา กลุ่มลดอักเสบที่ไม่ใช่สเตรียรอยด์ (NSAIDs)""",หน้า 132,,
67,ภัยจากโรคระบาด,ภรรยาตั้งครรภ์ มีไข้ ผื่นแดง กลัวติดเชื้อไวรัสซิกา ต้องทำยังไง?,อันตรายมากต่อทารกในครรภ์อาจทำให้เด็กศีรษะเล็ก ต้องรีบไปพบสูติแพทย์ทันทีครับ,"""ถ้ามีอาการไข้ ออกผื่น ตาแดง... โดยเฉพาะหญิงตั้งครรภ์ ให้ปรึกษาแพทย์""",หน้า 132,,
68,ภัยจากโรคระบาด,จะเดินทางไปท่องเที่ยวที่อเมริกาใต้ที่มีซิกาแพร่ระบาด คนท้องไปได้ไหม?,คนท้องควรหลีกเลี่ยงการเดินทางไปยังประเทศที่มีการระบาดอย่างเด็ดขาด หากจำเป็นต้องปรึกษาแพทย์ก่อนไปครับ สามารถเช็คประกาศเตือนภัยโรคระบาดผ่านแอปพ้นภัยได้ครับ,"""หากเป็นหญิงตั้งครรภ์ควรหลีกเลี่ยงการเดินทางไปยังประเทศที่มีรายงานการระบาด""",หน้า 133,,
69,ภัยจากโรคระบาด,วิธีป้องกันโรคไวรัสซิกาในชุมชนทำอย่างไรดี?,กำจัดแหล่งน้ำขัง เทน้ำทิ้งหรือปิดฝาโอ่งน้ำให้มิดชิด ทายากันยุง แจ้งจุดเสี่ยงแหล่งเพาะพันธุ์ยุงผ่านแอปพ้นภัยให้เจ้าหน้าที่ทราบได้ครับ,"""การกำจัดแหล่งเพาะพันธุ์ยุงลาย โดยการทำความสะอาด การเทน้ำทิ้ง หรือครอบฝาภาชนะที่สามารถบรรจุน้ำ... ใช้ยาทาป้องกันยุงกัด""",หน้า 132,,
70,ภัยจากโรคระบาด,ทำงานฟาร์มสุกร ต้องระวังโรคไข้หวัดใหญ่ H1N1 ไหม?,ต้องระวังครับ เพราะเชื้อไวรัสอาจมีการกลายพันธุ์ ควรสวมอุปกรณ์ป้องกันและล้างมือให้สะอาดหลังเลิกงานเสมอครับ,(ประยุกต์ความรู้พื้นฐานจากคู่มือ H1N1),หน้า 120,,
,,,,,,,

